Title,Subtitle,Type,Duration,BackgroundImg,OverlayImg,BubbleText
Countdown:,,countdown,30000,,,
Don't forget about Mum!,Mother's Day is just around the corner....,normal,30000,,,
Sunday 10th May,Book your table today for lunch or dinner,normal,30000,,,
Win a Hamper!,All Mum's dining here on Mother's Day will be put into the draw!,normal,30000,,,
